before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 1, 'reward': 0.138671875, 'group_hit': 0.875, 'pg': 0.004423690028488636, 'kl': 0.0, 'kl_ema': 0.0, 'kl_beta': 0.09512294245007141, 'grad_norm': 0.623779296875}
{'step': 295, 'reward': 0.134765625, 'group_hit': 0.875, 'pg': -0.0034597348421812057, 'kl': 0.03728330135345459, 'kl_ema': 0.056118288109361404, 'kl_beta': 0.01923340789325648, 'grad_norm': 0.561048686504364}
{'step': 300, 'reward': 0.119140625, 'group_hit': 0.78125, 'pg': -0.011427213437855244, 'kl': 0.033350516110658646, 'kl_ema': 0.05423675961783689, 'kl_beta': 0.02133564167081184, 'grad_norm': 0.5809807181358337}
{'step': 305, 'reward': 0.103515625, 'group_hit': 0.71875, 'pg': 0.012775933369994164, 'kl': 0.06208184361457825, 'kl_ema': 0.05482564999901907, 'kl_beta': 0.02338101276276686, 'grad_norm': 0.5973708033561707}
{'step': 310, 'reward': 0.126953125, 'group_hit': 0.8125, 'pg': -0.01999705098569393, 'kl': 0.06817379593849182, 'kl_ema': 0.056134308449012904, 'kl_beta': 0.025804600982652824, 'grad_norm': 0.5838854312896729}
{'step': 315, 'reward': 0.111328125, 'group_hit': 0.84375, 'pg': -0.0028538843616843224, 'kl': 0.056327320635318756, 'kl_ema': 0.05652720814034985, 'kl_beta': 0.02844050718714765, 'grad_norm': 0.5903099179267883}
{'step': 320, 'reward': 0.1171875, 'group_hit': 0.6875, 'pg': -0.03725963830947876, 'kl': 0.06494589895009995, 'kl_ema': 0.06339137318312847, 'kl_beta': 0.032844560609208345, 'grad_norm': 0.5963560342788696}
{'step': 325, 'reward': 0.103515625, 'group_hit': 0.8125, 'pg': -0.005552707239985466, 'kl': 0.03552849590778351, 'kl_ema': 0.06313351103589139, 'kl_beta': 0.03850747457954726, 'grad_norm': 0.46244388818740845}
{'step': 330, 'reward': 0.0859375, 'group_hit': 0.65625, 'pg': -0.009541614912450314, 'kl': 0.06037833169102669, 'kl_ema': 0.05919999782553308, 'kl_beta': 0.04350614604208183, 'grad_norm': 0.5816421508789062}
{'step': 335, 'reward': 0.103515625, 'group_hit': 0.8125, 'pg': -0.0040946532972157, 'kl': 0.06252691149711609, 'kl_ema': 0.05987890174446353, 'kl_beta': 0.04920770319411417, 'grad_norm': 0.6089715361595154}
{'step': 340, 'reward': 0.111328125, 'group_hit': 0.8125, 'pg': -0.017133358865976334, 'kl': 0.04750153422355652, 'kl_ema': 0.05671863672484215, 'kl_beta': 0.05512437479384622, 'grad_norm': 0.535823404788971}
{'step': 345, 'reward': 0.119140625, 'group_hit': 0.84375, 'pg': -0.002459002658724785, 'kl': 0.05326738953590393, 'kl_ema': 0.057437798596452296, 'kl_beta': 0.06203790772028537, 'grad_norm': 0.5522621273994446}
{'step': 350, 'reward': 0.107421875, 'group_hit': 0.78125, 'pg': -0.005629722960293293, 'kl': 0.037882156670093536, 'kl_ema': 0.06174503681256813, 'kl_beta': 0.07064410729631398, 'grad_norm': 0.5817025303840637}
{'step': 355, 'reward': 0.115234375, 'group_hit': 0.78125, 'pg': -0.024382978677749634, 'kl': 0.04729796200990677, 'kl_ema': 0.06092069155786581, 'kl_beta': 0.08079928665660199, 'grad_norm': 0.7914765477180481}
{'step': 360, 'reward': 0.1015625, 'group_hit': 0.8125, 'pg': 0.001813489943742752, 'kl': 0.05258245766162872, 'kl_ema': 0.06035782759042021, 'kl_beta': 0.09204161059865332, 'grad_norm': 0.760113537311554}
{'step': 365, 'reward': 0.12109375, 'group_hit': 0.78125, 'pg': -0.00040718168020248413, 'kl': 0.038103725761175156, 'kl_ema': 0.06021401833059169, 'kl_beta': 0.10521852292241508, 'grad_norm': 0.6269169449806213}
{'step': 370, 'reward': 0.08984375, 'group_hit': 0.75, 'pg': -0.017612293362617493, 'kl': 0.05115428566932678, 'kl_ema': 0.05552005162897184, 'kl_beta': 0.11660912817429048, 'grad_norm': 0.630473256111145}
{'step': 375, 'reward': 0.10546875, 'group_hit': 0.875, 'pg': -0.004506682977080345, 'kl': 0.039840858429670334, 'kl_ema': 0.04757192799464843, 'kl_beta': 0.12453611079582942, 'grad_norm': 0.4574059545993805}
{'step': 380, 'reward': 0.107421875, 'group_hit': 0.75, 'pg': -0.011195287108421326, 'kl': 0.0402296744287014, 'kl_ema': 0.04837581344133365, 'kl_beta': 0.13215855096591086, 'grad_norm': 0.608117938041687}
{'step': 385, 'reward': 0.103515625, 'group_hit': 0.875, 'pg': -0.009023248217999935, 'kl': 0.03987152874469757, 'kl_ema': 0.04677779315399783, 'kl_beta': 0.13839439924634267, 'grad_norm': 0.6272721290588379}
{'step': 390, 'reward': 0.08984375, 'group_hit': 0.71875, 'pg': -0.007888853549957275, 'kl': 0.03140420839190483, 'kl_ema': 0.04665562902627963, 'kl_beta': 0.14692117563089913, 'grad_norm': 0.5207165479660034}
{'step': 395, 'reward': 0.095703125, 'group_hit': 0.6875, 'pg': -0.013077559880912304, 'kl': 0.0225539393723011, 'kl_ema': 0.0438493273691131, 'kl_beta': 0.15351043684981475, 'grad_norm': 0.5995992422103882}
{'step': 400, 'reward': 0.11328125, 'group_hit': 0.84375, 'pg': -0.020283248275518417, 'kl': 0.040091656148433685, 'kl_ema': 0.04191455611273057, 'kl_beta': 0.15607196968567363, 'grad_norm': 0.5953004360198975}
{'step': 405, 'reward': 0.119140625, 'group_hit': 0.8125, 'pg': -0.014674601145088673, 'kl': 0.045808061957359314, 'kl_ema': 0.044307644237224816, 'kl_beta': 0.16071268883261958, 'grad_norm': 0.7980807423591614}
{'step': 410, 'reward': 0.138671875, 'group_hit': 0.84375, 'pg': -0.014887669123709202, 'kl': 0.05672037973999977, 'kl_ema': 0.041755877012639414, 'kl_beta': 0.16273284039231067, 'grad_norm': 0.7798789143562317}
{'step': 415, 'reward': 0.103515625, 'group_hit': 0.6875, 'pg': -0.02420175075531006, 'kl': 0.0316847562789917, 'kl_ema': 0.04398306555226224, 'kl_beta': 0.16922941212559917, 'grad_norm': 0.563122034072876}
{'step': 420, 'reward': 0.107421875, 'group_hit': 0.8125, 'pg': 0.0006152018904685974, 'kl': 0.05338694900274277, 'kl_ema': 0.04069398790230219, 'kl_beta': 0.17011465874170115, 'grad_norm': 0.6614891290664673}
{'step': 425, 'reward': 0.119140625, 'group_hit': 0.8125, 'pg': 0.004372773692011833, 'kl': 0.03310104459524155, 'kl_ema': 0.03865194572830637, 'kl_beta': 0.1699072948588915, 'grad_norm': 0.5416388511657715}
{'step': 430, 'reward': 0.138671875, 'group_hit': 0.9375, 'pg': -0.013140097260475159, 'kl': 0.024394359439611435, 'kl_ema': 0.03386190711463659, 'kl_beta': 0.16557962817722188, 'grad_norm': 0.6591847538948059}
{'step': 435, 'reward': 0.12109375, 'group_hit': 0.90625, 'pg': -0.005465220659971237, 'kl': 0.03073490597307682, 'kl_ema': 0.033464096898319945, 'kl_beta': 0.16025117134413633, 'grad_norm': 0.5507319569587708}
{'step': 440, 'reward': 0.11328125, 'group_hit': 0.84375, 'pg': -0.002353939227759838, 'kl': 0.032024502754211426, 'kl_ema': 0.03290391364027221, 'kl_beta': 0.15355090586141337, 'grad_norm': 0.6018085479736328}
{'step': 445, 'reward': 0.126953125, 'group_hit': 0.8125, 'pg': -0.01877737045288086, 'kl': 0.03827451914548874, 'kl_ema': 0.03124905099743987, 'kl_beta': 0.14535693918026626, 'grad_norm': 0.6859113574028015}
{'step': 450, 'reward': 0.1171875, 'group_hit': 0.8125, 'pg': -0.008579457178711891, 'kl': 0.05603384971618652, 'kl_ema': 0.03324657236100308, 'kl_beta': 0.13777733321841837, 'grad_norm': 0.7095720171928406}
{'step': 455, 'reward': 0.1171875, 'group_hit': 0.78125, 'pg': -0.016035718843340874, 'kl': 0.027409236878156662, 'kl_ema': 0.03379605752491968, 'kl_beta': 0.13224461983682395, 'grad_norm': 0.5588722825050354}
{'step': 460, 'reward': 0.130859375, 'group_hit': 0.84375, 'pg': -0.011299053207039833, 'kl': 0.028905849903821945, 'kl_ema': 0.03258653872367223, 'kl_beta': 0.1267754667354875, 'grad_norm': 0.6450141072273254}
{'step': 465, 'reward': 0.08984375, 'group_hit': 0.6875, 'pg': -0.005410096608102322, 'kl': 0.02065315470099449, 'kl_ema': 0.03466539897602022, 'kl_beta': 0.12286613348097172, 'grad_norm': 0.40898460149765015}
{'step': 470, 'reward': 0.11328125, 'group_hit': 0.875, 'pg': -0.01013254001736641, 'kl': 0.027204003185033798, 'kl_ema': 0.03692243460645308, 'kl_beta': 0.11919866479829958, 'grad_norm': 0.49622297286987305}
{'step': 475, 'reward': 0.126953125, 'group_hit': 0.875, 'pg': -0.0270227137953043, 'kl': 0.04269979149103165, 'kl_ema': 0.03452774344159409, 'kl_beta': 0.11493725116421534, 'grad_norm': 0.6950592398643494}
{'step': 480, 'reward': 0.130859375, 'group_hit': 0.90625, 'pg': -0.019057463854551315, 'kl': 0.024730786681175232, 'kl_ema': 0.03171481050450497, 'kl_beta': 0.10957088997950182, 'grad_norm': 0.8611626029014587}
{'step': 485, 'reward': 0.111328125, 'group_hit': 0.875, 'pg': -0.009553450159728527, 'kl': 0.029800264164805412, 'kl_ema': 0.03185025156097336, 'kl_beta': 0.10460882557316369, 'grad_norm': 0.4962027668952942}
{'step': 490, 'reward': 0.111328125, 'group_hit': 0.65625, 'pg': -0.008900861255824566, 'kl': 0.04457537457346916, 'kl_ema': 0.03320288773886353, 'kl_beta': 0.0995031651386293, 'grad_norm': 0.49151313304901123}
{'step': 495, 'reward': 0.126953125, 'group_hit': 0.8125, 'pg': -0.02684786543250084, 'kl': 0.0322096087038517, 'kl_ema': 0.035753042007552235, 'kl_beta': 0.09660921813163209, 'grad_norm': 0.5270881056785583}
{'step': 500, 'reward': 0.09765625, 'group_hit': 0.78125, 'pg': -0.007011186797171831, 'kl': 0.03951747715473175, 'kl_ema': 0.03718159110736032, 'kl_beta': 0.09490309792689802, 'grad_norm': 0.582297682762146}
{'step': 505, 'reward': 0.123046875, 'group_hit': 0.84375, 'pg': -0.008897577412426472, 'kl': 0.03553944081068039, 'kl_ema': 0.03645943985572833, 'kl_beta': 0.09314591933628608, 'grad_norm': 0.49310117959976196}
{'step': 510, 'reward': 0.111328125, 'group_hit': 0.84375, 'pg': -0.008665531873703003, 'kl': 0.02741296961903572, 'kl_ema': 0.04132683036048857, 'kl_beta': 0.09368023871065002, 'grad_norm': 0.4925742447376251}
{'step': 515, 'reward': 0.12109375, 'group_hit': 0.875, 'pg': -0.01515982300043106, 'kl': 0.04846568778157234, 'kl_ema': 0.040447603806532215, 'kl_beta': 0.09376370406024535, 'grad_norm': 0.5769645571708679}
