before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 490, 'reward': 0.11328125, 'group_hit': 0.6875, 'pg': -0.005001954734325409, 'kl': 0.04205853492021561, 'grad_norm': 0.5004560351371765}
{'step': 495, 'reward': 0.126953125, 'group_hit': 0.8125, 'pg': -0.027209706604480743, 'kl': 0.030194170773029327, 'grad_norm': 0.5393067598342896}
{'step': 500, 'reward': 0.1015625, 'group_hit': 0.8125, 'pg': -0.006916829850524664, 'kl': 0.036846134811639786, 'grad_norm': 0.5850092172622681}
{'step': 505, 'reward': 0.1328125, 'group_hit': 0.84375, 'pg': -0.009878721088171005, 'kl': 0.03166268393397331, 'grad_norm': 0.5087686777114868}
{'step': 510, 'reward': 0.1171875, 'group_hit': 0.84375, 'pg': -0.0059236325323581696, 'kl': 0.025701934471726418, 'grad_norm': 0.508616030216217}
{'step': 515, 'reward': 0.123046875, 'group_hit': 0.90625, 'pg': -0.012978680431842804, 'kl': 0.04518304020166397, 'grad_norm': 0.5890962481498718}
{'step': 520, 'reward': 0.12109375, 'group_hit': 0.90625, 'pg': -0.005727570503950119, 'kl': 0.026232674717903137, 'grad_norm': 0.5248169898986816}
{'step': 525, 'reward': 0.125, 'group_hit': 0.90625, 'pg': -0.0013708565384149551, 'kl': 0.04403795301914215, 'grad_norm': 0.7066382169723511}
{'step': 530, 'reward': 0.126953125, 'group_hit': 0.90625, 'pg': -0.01072695478796959, 'kl': 0.05232904851436615, 'grad_norm': 0.6582370400428772}
{'step': 535, 'reward': 0.138671875, 'group_hit': 0.78125, 'pg': -0.02541428804397583, 'kl': 0.027828697115182877, 'grad_norm': 0.8626230955123901}
{'step': 540, 'reward': 0.1015625, 'group_hit': 0.71875, 'pg': -0.014770334586501122, 'kl': 0.05420934781432152, 'grad_norm': 0.5882397890090942}
{'step': 545, 'reward': 0.1171875, 'group_hit': 0.78125, 'pg': -0.01022845134139061, 'kl': 0.06241915374994278, 'grad_norm': 0.6365782022476196}
{'step': 550, 'reward': 0.123046875, 'group_hit': 0.90625, 'pg': -0.018361561000347137, 'kl': 0.030447157099843025, 'grad_norm': 0.5969410538673401}
{'step': 555, 'reward': 0.123046875, 'group_hit': 0.75, 'pg': -0.004429798573255539, 'kl': 0.0347602441906929, 'grad_norm': 0.9381664991378784}
{'step': 560, 'reward': 0.103515625, 'group_hit': 0.71875, 'pg': -0.005346634425222874, 'kl': 0.04209347814321518, 'grad_norm': 0.5624136924743652}
{'step': 565, 'reward': 0.125, 'group_hit': 0.8125, 'pg': -0.011731388047337532, 'kl': 0.0305861234664917, 'grad_norm': 0.654967725276947}
{'step': 570, 'reward': 0.11328125, 'group_hit': 0.8125, 'pg': -0.004888466559350491, 'kl': 0.0588056817650795, 'grad_norm': 0.5678086876869202}
{'step': 575, 'reward': 0.123046875, 'group_hit': 0.75, 'pg': -0.019633980467915535, 'kl': 0.031734250485897064, 'grad_norm': 0.7096001505851746}
{'step': 580, 'reward': 0.107421875, 'group_hit': 0.78125, 'pg': -0.007395466789603233, 'kl': 0.050824426114559174, 'grad_norm': 0.6056103706359863}
{'step': 585, 'reward': 0.109375, 'group_hit': 0.75, 'pg': -0.010278057307004929, 'kl': 0.024972504004836082, 'grad_norm': 0.5613881945610046}
{'step': 590, 'reward': 0.134765625, 'group_hit': 0.875, 'pg': -0.01157746184617281, 'kl': 0.042397573590278625, 'grad_norm': 0.6757249236106873}
